client_id,round,timestamp,mu_boundary_hits_min,final_train_loss,mu_range_min,mu_range_mean,mu_adaptations,final_mu,loss,final_learning_rate,mu_boundary_hits_max,mu_decreases,final_val_loss,epochs_trained,mu_increases,mu_adaptation_rate,mu_range_max
579795,3,2025-08-29T12:54:52.876850,0,0.289399448886653,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.3272916873342523,0.0004955718126821722,0,10,0.2069743674258892,10,0,0.3333333333333333,0.05
694039,3,2025-08-29T12:54:52.876856,0,0.36679659774201656,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.37118806366701484,0.0004955718126821722,0,5,0.22614383963533083,10,0,0.25,0.05
951946,3,2025-08-29T12:54:52.876870,0,0.38978612049730715,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.38524411674144726,0.0004955718126821722,0,5,0.18143200185741948,10,0,0.25,0.05
1400,3,2025-08-29T12:54:52.876875,0,0.30653280555430207,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.3257874957791559,0.0004955718126821722,0,10,0.2181529251791917,10,0,0.3333333333333333,0.05
178375,4,2025-08-29T12:56:22.026831,0,0.2523282818776691,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.26680314645732095,0.0004921457902821578,0,10,0.21073086054937734,10,0,0.25,0.05
123935,4,2025-08-29T12:56:22.026849,0,0.2745525525616748,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.2785119744283812,0.0004921457902821578,0,10,0.22247055067622942,10,0,0.25,0.05
755626,4,2025-08-29T12:56:22.026856,0,0.31557745934152304,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.29450071422139223,0.0004921457902821578,0,10,0.17495230371202167,10,0,0.3333333333333333,0.05
951946,4,2025-08-29T12:56:22.026871,0,0.3139786594571819,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.3131676477821442,0.0004921457902821578,0,5,0.16255465463204605,10,0,0.16666666666666666,0.05
694039,4,2025-08-29T12:56:22.026877,0,0.3228498748172301,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.30148656534616575,0.0004921457902821578,0,5,0.21201062106068352,10,0,0.16666666666666666,0.05
160027,4,2025-08-29T12:56:22.026882,0,0.2888107730197521,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.2851073100276067,0.0004921457902821578,0,10,0.20647162146466694,10,0,0.3333333333333333,0.05
